clean_comment,category
woke 2 dis,1
happened musickanye,-1
name model?,0
first video watchin 11 year,0
supposed tetsuoooooooooooooooo,0
thumb think kanye west win grammy 2012 beautiful dark twisted fantasy!,1
329339 best dance ever,1
rip kanye west 3,0
never stop kanye! rock out! gasrok,1
kanye doesnt make music hear. make feel music. collaboration always 1 greatest.,1
no offence but agree main reason song went big remixed daft punk. but 1. looped recording. 2. kanyes song would ft. song 3. daft punk video. 4. everybody know original daft punk ft. tell everyone pointless pretty big song.,0
"know song sampled harder better faster stronger actually sample another artist well, right? dont spout ignorance",0
song would much better black eyed pea,1
saat 12.03,0
...youre kidding right?,0
001 epicoo,0
remember kayne wasnt ass........yeah neither,-1
wow best song crazy,1
song would good guy wasnt talking backround.,1
eliocos uploaded kanyewestvevo 16 june 2009 lol..,0
"iambornt didnt said found kanye west bad, said come daft punk better go watch daft punk music video whitout kanye, thats part came for...",0
immortaldragon daft punk sampled harder better stronger edwin birdsong cola bottle baby watch?v4odwk16cdno,-1
shoutout prince apollonia lol,1
like watching never back brings yuh listen song,0
sound best,1
"gmpro24 hey, gave low estimate said well 75 million. want search original count views, guest, wouldnt surprised 100 million. thats not counting remixes. daft punk part song dopest part, take away have? piece shit, thats what. daft punk made song, deal it.",-1
trippin make stronger. feel like die but dont...,1
mrpimpstyle07 amen bro.,1
day 16 listening stronger everyday 1 year...,0
"daft punk deserve almost none credit, adda techno voice already existing song look edwin birdsong cola bottle baby. daft punk sampled it.",-1
2024 ye,0
cassie? hmmmm,0
best part??? hmmmmm 002427,0
damn advertisements! but ill brush let username leave comment.,0
taking back year 7 day,0
song still one favorites!,1
kanye may dead. but back stronger.,0
adictoabonjovi true true,0
daft punk stronger ft kaynewest,0
megatron br ksksksj,0
dislike daft punk originaly created song,-1
xeliessss niceeee lol south park,1
raicst nibba love spit face israel 3,0
ooooh yeaaah,1
realized akira reference,0
mmm,0
back field,0
picked song rip rock roller coaster orlando??,0
worked fcking together god everyone think stole wrong worked together!!!!!!,-1
think im one,0
daft punk main star song,1
shoulder always hurt lol,-1
"stronger, took arrow knee",0
natal 2018?,0
watching 2018???,0
straight amazing,1
caracortada92 died horrible car crash,-1
109 orgazm,0
ea hire whoever responsible animation special effect kanye videos. nba live could use lol,0
kayne runnin game song dope,1
"shit, dat face left creepin out!!!!!!!!",-1
"dont know got permission anything... but original harder, better, faster, stronger daft punk",0
reviso funo organica pro vestibular,0
akira live action brought netflix.,0
komdizila,0
"daft punk kicked kanye whole song, say 20 word",-1
way better lol httpsyoutu.be29n1vxs1ssy,1
akira best anime movie,1
else see akira reference video??,0
shit prayes soton go hell nd fan,-1
justin bieber carpool karaoke 2 brought haha.,1
kanye top,0
kanyeeeee learn reeeed oh boy nigahiga fan commenting,0
liked video daft punk,1
legendary 3,0
getting akira vibe,1
duh! kanye bought bitch,-1
2022 julio 23,0
next kanye west lil pump minecraft please!,1
una de mi favoritas!,0
2019????,0
transcendence level lessons..,1
amjapanesepeople !!!!pp,0
kanye definitely watched akira,0
kanye gay period,-1
daft punk?! oo why? song ... kanye! why???,-1
dont know daft punk lol,-1
never back down...,1
interested hot music? visit channel take one click,1
need scammer payback life holy moly,-1
somone asked kanye west broke perosn!,-1
kanye play trump inauguration?? hope so!!,1
japan dont mix. asian asian scene... still look good,0
thumb listening 2011!,1
vulgrun couldnt agree more................ape. ohp im getting racist. sorry guys.,-1
song pretty beast.. but nothing without daft punk,1
watch dogs2!its time take world back,1
rookie year election kayne west,0
shouldnt featuring daft punk somewhere title least section?,0
never back 33 3,1
"kanye dick head thats fact everybody knows. music shit listened people dont know better, kid getting music. much better quality discover rediscover there. kanye mainstream trend bullshit",-1
u watch closley original singer daft punk video,0
ubermisho uk many song used cover remixed? seriously chill,0
yes said thomas taller guyman rl.,0
love kanye never stop supporting even though dont agree stuff youve saying recently,1
love track always classic!,1
3 daft punk...uh black guy?,-1
vestu fuck u song would shit without kanye,-1
daft punk video !,0
nnow ththat dont kill make stronger,1
thisnb songn besr,0
"called daft punk ft. kanye west stronger. give producer credit, put time skill you.",0
daft punk got songwriting credit allowed kanye use music.,0
japan!!!!!!!!,0
thousand one !,0
ser que forever atrai gente ouvir msica brutal,0
0 dislikes... kurwa,0
no say 2009,0
best song get faster think listen hum song head love song rock,1
"k. im not big fan kanye, but say... considering daft punk video, id say approved song. stop saying stole stop hating. whatever. agree credited somewhere title description video, but come on! let remix song back track get hate it.",-1
tit,0
"whats guys, year wanting music, started writing last year recently recorded! 10,000 view weeks. reckon could check shook one cover im artist inspired kanyes work, im 16 england. im trying get noticed would mean alot could thumb comment get noticed!",1
"deansdream1 lmaoooo wtf punk draft not copy, called sampling",-1
300 mil boiii,0
remember listening day childhood listening fighting stick figure wish music like still but garbage but music not bad tho,-1
10 year after?,0
thats 3 word,-1
"te odio kanye, llegas al recontra pincho no te paso pero que buena cancion la rptmr",0
still dope beat,1
n n th dont kill make stronger need hurry cause cant wait much longer know got right cause cant get much wronger man ive waitin night thats long ive ya need right need right 3,1
remeber seeing 2007 tv scared shit idek,-1
"magnifique , le duo est parfait!! 3",0
"hate kanye west, make stronger.",1
song 13 year old still bomb,0
hot girl,1
always listen runing,1
love daft punk dont we?,-1
"136, seriously say likey?! totally ruining effort badass.",-1
dont kill me!!!!!,-1
280425,0
chere100 ya,-1
lol fucking censor,-1
que recuerdos.. cuando lo empece escuchar los 12,1
"remember watching youtube, day",0
girl???,0
yesss love sooo much,1
daft punk ripped,-1
listen 2016 like comment,0
hermoso,1
feel kanye cause hard gemini deal invisible twin join since birth kim really love you. dont let people say outside anyone else. love no mather what. thats truth! dont hurry throw away kanye!,1
forgot cassie video.,0
"quebrando regras, old but gold",0
2014 radio day,0
no mola mucho,0
came aflac cup series,0
kanya akira shit video,-1
kanye wat u doin? kanye! stahp!,0
im latest comment banger,0
"im telling you, daft punk, fuck man, must hard carry kanye west one, cares, kanye west get attention",-1
one never knew made kanye,0
daft punk version much better!,1
wtfwelcome facebook,0
"oh yes, good old days.",1
thatcoolguydarion lose 20? 73 like counting.,0
hate kanye but good song daft punk,0
thebennyman23 congrats! troll year award!,1
tragam antigo kanye west novamente c,0
"kanye fucking beast! dude, no one mean no one even match him. anime connisuer detect hint one greatest anime film ever made safe bet say akira. please, anyone correct im wrong. cc...",-1
best song o.o,1
daft punk yes !!!! ..... kayne west noooo stop stupid,-1
rip 6ix9ine,0
"mrdjoyahs yes , kayne great rapper . love much",1
best song evefererer e,1
"12fokken hardly stolen appear video, called sample think kanye amazing job song. im huge daft punk fan, saiyan",1
im sure know daft punk pretty much made song.,0
"seriously, million time better daft punk",1
thats kayne does.. remix songs.,0
jamm,0
corona virus ive waiting die what! corona virus yep thats long ive,-1
"nnow dont kill make stronger,",1
"is,that not hostile voice",0
aybitchdontdodat wow hate much dont watch video troll. p.s get life,-1
first 2018,0
hangover vibes...,0
surprised see mv first time native language.,1
im gay fish,-1
musically???,0
kanye west ft. daft punk!! daft punk minute 100 oo!!!,0
december 2013?,0
free world future right !!!!,1
reason think still something good him.,1
"kanyes dead? hey stupids, come on, kw dead, world dead too.. dont get ridiculous..",-1
baye lilswan,0
birthday 8 day mine,0
gone everything kan like,0
"223 chillax lady...its kanye west, not godzilla... o.o",0
daft punk get credit ??? confused year,-1
2019 nostalgiaaaa,0
kanye went roblox outfit,0
wouldnt mind eating side fries?,0
"bonsoir, buna tardes, hello, ol, salamahlikoum, six languages, en 6langues,",0
"500 rolling stone greatest songs, looked up...how garbage made list, ill never know.",-1
jbourget05 fuck gay fish?!?,-1
strykerboss video kanyewestvevo dont know get fact tht daft punk let kanye feauture actuallly way around.,-1
oo make beat bu daft punk ?,0
exactly wrong world.,-1
back knew kayne crazy,0
saadtariq12345 ..... song hangover 2....,0
10 year song many aufrufe 250million aufrufe,0
oh daft punk song,-1
nice one u stole daft punk,-1
"everyone lied to!, youtube broken whenever come go video automatically. view me!... wouldnt surprised put 30000 views.lol",-1
imagine someone 2009 told kanye west going president 2020,0
fuckin check kanye west mashup!! watch?vkmt1jmb9gka,-1
"daft punk consists two people emile halo, robocop robocop",0
kurdistan,0
kanye fucken goat,-1
fanye west,0
five time view daft punk one still good one tho,1
legendary music!!!!,1
umm well last time checked getting laid kim kardashian. ?,0
legend kanye west,1
really miss kanye,-1
bbbbbbeau goss xd,0
human cloning?,-1
kanyes mister president...you eligibles workit makeit? mmmmmmmmmmmaaaaaaaaaachhhhhhinnneeeeeee shoooooooooppppppppp 1 song,0
honoured absence would never show fake shit. you? ray,-1
well somewhat better daft punk got,1
speak english good.,1
e mi preferida,0
"... better, faster, donger!!!",1
songs.,0
took way long catch based akira,-1
"father, come heart thankfulness are. god, father, creator heaven",1
fake v,0
"legodude099 stfu, song better draft punk version...",0
"no offense, but artist really need fck every awesome track damn covers? daft punk ftw...",-1
kipmarspert101 agreed,0
remember 5 dad playing car.... finally found like song cuz daft punk but kanye go fuck,0
good dance song,1
today song 10 year old....,0
never back down3,0
3500 ?,0
aint bad but still preffer daft punk,-1
watch epichavs second third one !!,0
cosmosticality im pretty sure make song like 20 year ago,0
one favorite song ever. kanye west fuckn music genius !,1
yea get fucking life! look guy dont even like,-1
4181 silver dome 180 zip code 76208 trailer park since people think im scared post addy,-1
lieky,0
"daft punk, mfaka",-1
supermanofmen agree,1
"2009 , damn !",-1
"wordpresslikewierd daft punk didnt make song, got sampled. also daft punk got songwriting credit, money sample clearance fee, costume music video....so complaining?",-1
jesus sinner,0
doesnt get old,0
no offense kayne west but real deal daftpunk!,0
"kanye may say lot controversial stuff but man, undoubtedly, amazing rapper",1
everybody mother wearing shade video came,0
anything klondike?? sings ice cream song stole two talented people made song sex?? fucking kanye,-1
best.song.ever.,1
tms9211 hahahahahaha man ur funny,1
love kanye west tea amod,1
original song sampled sampled cola bottle baby.,0
good way ruin good song kanye,-1
"thousand yous, one me. fax im not huge ye fan but song always get me.",1
first 2017. lemme see ya,0
1,0
"ahh , never back down??",0
"anyone noticed head ripped entire video akira!!!! human scanning device bikes, distinctive glowing light everything!",0
"people different taste music, not entitled like like. hate post like this. shut fuck up.",-1
"longer, harder, bigger, better",1
"kanye west attack paparazzo austin, texas 2013 original",0
cool opinion also no one care,0
4321 people weaker,-1
wtf stupid bob comment,-1
strong! japan.,1
"listened kanye but couldnt ignore dp, best",1
joeshow300 cant think better comeback? get life.,-1
"love story behind it. kanye used aspect original without permiossion. instead sueing copyright, said wanted appear video. pissed kanye but daft punk got credit.",0
msica quebrando regras,0
por que voc negro?,0
got restraining order replay button d.,0
epa...,0
"please kanye make new video song, using latest technology. remastered",0
rofl stupid,-1
"no, fuck",-1
roblox one playing really loud non stop,0
thumb youre watching 1999 !!,1
never seen kanye without glass close,0
theexogenorate fuck,-1
"ya thats right 45,931,514 view song deserves think contributed least 100 lol",1
bam memory flash mind,0
"bitch nigga, always ye ... no, werent, wasnt bad thing...",0
ear power hand stronger harder,0
cassie fine!,1
faster stronger make better,1
kayne need fashion label thats good money plus less stressful,1
video would stupid bad daft punk wasnt,-1
still dont understand video,-1
copied daft punk. hate kanye copy music,-1
greaty880 thats rapper,0
original song daft punk,0
"3 , , ,",0
hear deft punk,-1
everyone complains kanye ripped daft punk called sample. no one complains daft punk took original sample cola bottle baby.,-1
999k hehe cant get much stronger!,1
witerally cool,1
alansubtil no shit? everyone know that.,-1
dare stole daft punk,-1
"hear out, but correct im wrong arent snippet music video?",0
man music back bos bad stuff but dang music good,0
u sure song 11 year ago hhh song nowadays cant reach high,0
shit banging came out!!!! f kanye ???,-1
love anime kanye,1
kanyeeesus.,0
started cancel culture?,-1
funny song terribly sample song already terribly sampled another song. terrible sample inception? not believe listen cola bottle baby,-1
good song shit stole,-1
e1guan ......,0
not stronger street sign,0
theve not made studio album since human arsewipe,-1
2018 anyone?,0
"used strong, took arrow knee!",-1
algum 2019 deixa like bb,1
kayne west love song amazing,1
never back x,0
kinda cringey,-1
"thumb daft punk.. theyre maker song, kanye",0
japanese teacher told u watch write said japanese texts...,0
draft punk kane,0
16.02.2018,1
id love beat black goo song tho,0
birth antichrist music,0
007 009 014 016 032 041 046 051 052 054 055 058 100 105 114 156 216 218 220 224 226 228 231 234 239 240 243 248 252 309,0
zajebista,0
"superpowerades know daft punk wouldnt made song harder, better faster, stronger kanye wouldnt able write song.",0
didnt even daft punk,-1
love referencesw akira... brillaint movie,1
123 456 789 vues,0
ion even like kanye one favorite song ever,1
"future, song still fire.",1
wonder excited work daft punk,0
"kanye falling kardashian experiencing fate everyone ever fell member family. first, get isolated friends, embrace wrong ideology someone not him, come publicity private health interest trying walk, dragged mud, like processors. case donald trump president, cant kanye...because bipolar kardashians keep reminding u",-1
"realliferotti watch video read comments, next kanye pay 5,000,000 kill haters.",0
bad trip..?,-1
love version daft punk original. fucking amazing. end.,1
love kanye west make everything self deft punk still awesomer!,1
get backround vid?,0
lol... actually agree one,1
awsome love knye west kiss,1
called kayne west ft daft punk stronger !!!!,0
ye uk everybody gonna say uk tuesday ten oclock jools holland,0
love kanye last name west but born east side america,1
"rip kanye, shame died 2022",-1
hangoverrr,-1
"kanye said came song compete sexy back beat made timbaland, wanted make drum sound powerful, tried couple producers, didnt work ended going timbaland thats beat slap",0
135,0
"quebrando regras slc meelhor filme, alguem 2017?",0
dam song definitely represents kanye west right,0
best part video advertisments,1
kanye west took fucking credit song isnt even besides song good daft punk kanyes shitty singing ruin wholle thing,-1
nagispring47 daft punk.,-1
not everyone need soft spoken tolerant mediocrity.,0
cursewords blurred xd spotify cursewords,-1
"alright but fucked 10 year old, daft punk made original harder better faster stronger, kanye wanted work together feutured name.",-1
great song hot girl video.,1
r.i.p. iron boxing king,0
"daft punk true star but like kanye west song. mean remix daft punk music, not song.",1
listening song 2026,0
youre fucking ignorant idiot. saying.,-1
algum br curtindo esse musico da porra tambm?? brazil rock!,1
im jew love music,1
new white house song,0
kanye west make video in... east ??? great !,1
massa essa msica,0
0112,0
"kanye not steal daft punk, sampled it, notice theyre video? fact, harder better faster stronger sample original song. anyone belief kanye stole isnt worthy called daft punk fan.",0
but vmas right,0
watch?vjhe88tp4i6ufeaturerelated,0
kanye reminds tupac sometimes good way actually! trippin lol,1
went wrong kanye fucking genius.,-1
jest zajebiste !!,0
hardik pandya owns song .,0
favrte song since childhood though would never understand english lyric time loved music,1
jealous much?,-1
listening masterpiece song 2059?? thanks 99 like,1
tight putting akira real life daft punk soundtrack man thats old school anime thats whats yall know bout,0
credit daft punk never make song!!!!,-1
world top lawthe criminal,-1
watching october 2019,0
"ask cause im not sure, anyone make real shit more???",-1
wow kanye actually good song,1
"daft punk song. song good, but daft punk actually video. dont say song.",0
better origial,1
daft punk owna,0
daft punk better. truth.,0
"putamadre, pensar que unos de los mayores exponentes revolucionarios del hip hop sea un luntico como kanye, la vida sus sorpresas",0
fuck fitzy wippa,-1
no idea happened xd,-1
daft punk forever !! 3 hate meh p,-1
veary good,1
first didnt know song called googled it. love song!,1
rqlly,0
bad kanye made song. anybody actually like kanye?,-1
watching psychatric hospital ?,0
unironically motivates me.,0
sony 2012,0
stronger fuck yeah,-1
shade iconic statement era... used wear everyday 2nd grade. wear campaign vote,1
bullcrap. cant ripoff daft punk make sound good. rap isnt even good eminem better.,-1
b bbhhgfgfrrrrrtttttttttttttttttttttttttttttttttttttpp,0
dont answer!!!!! hahahah,-1
will.i.am 114 !?,0
love kanye much,1
"bla, bla, bla.....",0
volleyball team work always suggest song.,1
"u know am, im god",0
like music but far voice not sure,1
15 year song im still listening,0
video lagging sync wouldnt able tell...,-1
049 freehongkong,1
0teaddy0bears0rule no. im watching 1735. dumb shit.,-1
"song stronger duft punk harder better faster ,but isnt better song",0
luuuv iiit,1
look like theyre cloning,0
im watch dog 2 literally,0
no not.,0
came love song?,1
gay lookin,-1
never back gold memory,1
thafunkyfeelone gay fish,-1
markox101 song wouldnt there. without. daft punk,-1
song harder better faster stronger daft punk sweer but text little different,0
yeah thank 3030,0
kanye 2024 please,0
kanye west love song best singer !!,1
p na sua idade j era poeta que voce porq j que fiz histria vrias vezes,0
stupid sunglass,-1
"honestly daft punk fan, spoil song",-1
copyright pirate,-1
"extraaba esta cancin, se vino la mente le escuche despus de un buen tiempo",0
"wtfzzo ahahaha youre funny dude, but mistaken sense sign lol cheer italy",1
melhor msica de todos tempo,0
megasnifit junk faster??,0
honor lateness even show fake shit,-1
everyone comment 2019. asking hangover 2???,0
"kanye west fashion icon, 5 outfit look like stronger school call next kanye start rapping",1
let go play take iranian,1
godofwar1013 ur hater u know kanye better anyone u know,0
bow presence greatness. honored lateness. would even show fake shit. go ahead go nut go apeshit. kanyes ego,-1
yeah! daft punk! 3,-1
mrxraez video talking about?,0
watch dog 2 brought man memory song ever since,1
"daft pank... god, kanye west... human... thnik ive told everything!...",0
shoutout geoffs avatar.,0
bot dance,0
twilightprinny good way put it!!! hahahaha,1
bob building army. tank bob google il. copy paste .. jouissante cette chanson,0
know listening october,0
never back brought,1
"real love, light gratitude.... fear evil cant exist amen almighty lord. accept life life anew. save world name god",1
video clip reminds akira.,0
nbd,1
better daft punk,0
swear need movie universal call upon,0
2025 !!????,0
really wish kanye still made music like this.,0
porque daft punk no e mencionado en los creditos?,0
back kayne swagger not yeet. highschool reinventing swagger help favs beyonc kayne wiz khalifa drake young money alicia key others cant access short term,0
love kanye musician but dislike kanye person. song bomb!!,1
best music xd niceeeeeeeeeeee dd,1
daft punkin life!,0
og,-1
never back downd!,1
never back fucking,-1
great homenage ao anime akira parabens kenye,0
cause played radio cause kanye west popular..,0
took 4 week get damn addict song! damn,-1
tbh like song idaft music,1
thumb watching video 20112012,1
definitely.. gotta respect kanye chooses put tracks.. glad daft punk gave permission,0
kanye commercial...very commercial.50cent,-1
kelly?,-1
"cocacola381 cocacola, know pepsi.",0
girl look little bit like kim kardashian..,0
iiii looooveeeee iiiit!!!!!!!!!!,1
one kanyes song like.,1
somebody 2102 listenig thist?,0
"... think mean vile... disgusting, said vial, like container...",-1
hell daft punk? kanye made famous.,-1
never back tune,1
", , 20 .",0
kanye fuckin best rapper,1
kanye west foda trump foda,0
checkout channel new song,0
gay fish lol,0
drop.,0
donate kanye gofundme.com96pmz9p8,0
"ezko02 covered co,plete legal way stop hating didnt copy song, but make new version think better",1
"thekingtsar no, called big dick.",-1
2019,-1
crappy music ... low talented artist ... guy rich?,-1
133753 thought kanye west invented,0
damn dont make like anymore. hit different,-1
thats favoite rapper 1. kanyae west 2.chris brown 3.twayne 4.speaker knocker 5.wiz kalifa get point,1
so......what song again?,0
song make mind stronger day day,1
daft punk???,-1
sound good,1
reminded akira watching this. go capsules! point idea im talking about.,0
kanye copied daft punk. used like kanye hate,-1
wesley mandou aqui,0
...?,0
no offense but.....fuck yeah u ppl may start hatin now.,-1
jack but admit shit good,-1
harder,1
kanye west song ever like.,1
cade br ?,0
song awesome kanye west great singer,1
april 2017? realy?!,0
1759 still hit,0
guy made love lil pump,1
minecraft video response,-1
willsidekick dont start please itl rile crowd bla bla bla ur not 87 bla bla bla say ur 15 ur channel bla bla bla bla bla bla this. ok believe u though,0
hitler first make highway commission car would ecological . deal . bad ppl sometimes good idea .,0
think kanye west sound bit like fish thats homosexual......,-1
music complete joke people lost days.,-1
respect akira reference. mad props. good collab.,1
running jess water,0
something wrong hold head kaori gone.. girlfriend dead,-1
no shit sherlock... u expect u listening not 2012... o.o,-1
red writing japanese sumthin else,0
always fan!!!!!,1
fucking hate daft punk but admit daft punk give nice touch song,-1
love akira reference wonder many people notice love akira.,1
sex,0
wait...? 2012?! yes! worked!,1
"best part song daft punk, but not bad, thats coming someone generally dislike rap.",0
absolutely butcher amazing song...pathetic,-1
esto si rifa,0
"puedo escuchar ver este vdeo un billn de veces nunca voy cansar, un crack yeezy.",0
hate kayne west this!!!!!!!!!!!!!!! jk love song but daft punk version way better harder better faster stronger,-1
akira lookin different,0
hey copied daft punk,-1
gwendoline estu l?,0
kanye west im stronger mom yeah but ive living longer kanye west,0
daft punk version horrible mean like rap hip hop u dont like rap hip hop u probably think trash mean hate original version daft punk but dont like type music,-1
2024 oh good song,1
"people saying music no good, no meaning, not really smart. genius!",-1
jger acog foundation donate 1 dollar month make ubisoft get acog back,0
oh made,0
top ten best song prove wrong,1
legendary 1010 song,1
kyl44444 but last year lie .. ?,0
daft punk hiding title now?,-1
lovvvvvveeee,1
might asshole but song beast,-1
embraced gamers.,0
number hospital door!! 566 wheres 3rd 6.........illuminati genius,0
realized music vid bunch akira references.,0
cant take 6 kanye. grave. you.,-1
interested receive jesus lord saviour say lord jesus christ im sinner come heart help cleanse change save soul,1
pozdro perez,0
10 2021,0
song banging,1
remember song nba live 08 09,0
lord murat tan gelenler1,0
kanye west influencer,0
like used also animation one time art,1
song goatedddddddd,1
kanye didnt put daft punk ft im mean aint one made harder better faster stronger. least give credit,0
came 33yrs old. feel nostalgia bc met late wife jessica 07 fell fast. passed away 11yrs december 2nd 2018. always w me! god bless,1
yall dont like joint wtf doin listenin jus sayin....,-1
wow hate you.,-1
"exact man!! true! like electronic hip hop too, enjoy version song, great opinion, no stories!",1
k.k. rule,0
but daft pu k kanye,0
rip man shit!,-1
"siento la puta ama con esta cancion, neta perdn.",0
imagine kanye blasting song oval office,0
need stronger,0
yugioh abridged version better lol,1
"going type stronger u but didnt complete got here, dont regret",0
goodre unique,1
version daft punk song daft punk stronger better faster maybe song penis,1
"please,listen,to,my,music,imma,16,year,old,rappersingerproducer almost,like,kanye,west please,subscribe,right,now,please",1
goddamn genius,-1
harder better fast stronger...i love kanye,1
dont forget kanye didnt make background beat. daft punk infinitely better,0
"disregarding fact kanye douche, song forever timeless well original daft punk song",0
hold 8,0
"lol, akira ftw! xd",1
040 los robotcitos tambin ven nopor v,0
guys. kanye make america harder better faster stronger again?,0
like video,1
"ive never liked hip hop but one song get every time,love it!",1
tron!!,1
listening in2013858103?,0
kanyes anime opening?,0
alguien por los brbaros de elite v?,0
thumb came daft punk !,0
vevo youtube sucks!!,-1
239 based,0
imma let start,0
yournumberonesource but agree but cant beleave spelld kaynes name wrong,0
akira goated,-1
hey george,0
traicachua96 pocodot bad. people say good controlled fake. people account taken thumb hacked. podocot bad!!,-1
like human! wow,1
think daft punk harder better faster ft. kanye west mean.. theyre even made song somewhat famous. kanye talked throughout video. sayin,0
hmmmm,0
"man, daft punk even clip... no, aint stop bullshit. daft punk rulez.",-1
love sound!!!,1
im 15 year old rapper trying make game way known youtube. even though im 15 feel like maturity lyric someone older. change life one simple click. please thumb people see check new song heebz go comment feedback like also think could improve. like check rest vids 17 rap up! thanks!,1
daft punk rox ! but kanye just.. gay fish...,-1
goat kanye,0
031 weeb soul,0
"tivoli, denmark, august 16, 2200. ill see kanye.",1
"artist dont steal, pay rights.",0
2005,0
kanye better wasnt aluminati,0
"dancing 235 crack shit lol, like cop showed looking way haha",-1
stop beeping swearing thumb stop,-1
like sauce bos,0
kanye west kanye west! no one know guy today anymore.,0
know mean hay pop song boy band make sick theyre sex girl dont get started fucking justin beiber.,-1
going fun 5 year meet kanye airport play piano like no one else show musical fingerprint.,1
"didnt even gave credit daft punk since entire beat intro came song, even title",-1
comment day ago getting top 11 year old song,0
"yeahh .,",0
song literally one best ive ever heard life time possibly best song ever made history.,1
212 guy ripped hand signal casey neistat,-1
no actually noticed kanye west daft punk remix.,0
goodbye,0
yyyyyyyyyyyyyeeeeeeeeeeeesssssssssss music,1
2007 year kayne west becomes weeb,-1
2009 hype!,1
"song make harder, better, faster, stronger",1
name kayne duh reason would need know name here.,0
roubaram essa msica daft punk heim!!!,0
"anyone song studio acapella, need please",0
kanye said daft punk original version song daft punk even said really liked not rip bad song stfu dont like please leave.,0
...good,1
everything used futuristic back now!,0
daft punk made song!!!!!!!,0
original easily crush song. much better. used back track clout,0
"jesuskitteh not mad, talking someone iq 2",0
listening song equivalent reading mein kampf time alive,1
", . .",0
